Ticks,Price,Open-Interest
0,9286.5,655.688369
0,9286.5,655.665949
1,9286.5,655.743572
2,9288.0,655.875468
3,9297.0,655.935158
4,9303.0,655.944002
5,9305.0,656.016333
6,9308.0,656.043327
7,9309.5,656.053992
8,9310.0,656.119814
9,9310.0,656.135908
10,9312.0,656.085693
11,9313.0,656.102055
12,9315.5,656.244729
13,9318.0,656.205446
14,9318.5,656.136997
15,9318.5,656.134994
16,9318.0,656.130611
17,9318.5,656.09754
18,9318.5,656.082652
19,9318.0,656.081329
20,9306.0,656.058872
21,9301.0,656.168028
22,9300.5,656.137236
23,9301.5,656.144392
24,9310.0,656.231615
25,9310.0,656.26201
26,9310.0,656.26551
27,9320.0,656.267
28,9320.0,656.308666
29,9320.0,656.228021
30,9319.5,656.243101
31,9319.5,656.236734
32,9320.0,656.233663
33,9322.0,656.248764
34,9322.5,656.349739
35,9322.5,656.34088
36,9318.5,656.345129
37,9315.0,656.468359
38,9309.5,656.472709
39,9306.0,656.444436
40,9306.5,656.398701
41,9306.0,656.398701
42,9310.0,656.404072
43,9310.0,656.391309
44,9312.5,656.381474
45,9315.5,656.255258
46,9319.0,656.151933
47,9319.5,656.324778
48,9320.0,656.531223
49,9322.5,656.492775
50,9327.5,656.493637
51,9323.0,656.49921
52,9320.5,656.715953
53,9326.0,656.713492
54,9320.5,656.767907
55,9320.5,656.797139
56,9320.0,656.824671
57,9320.0,656.845311
58,9318.0,656.843862
59,9316.0,656.844332
60,9316.0,656.874746
61,9316.5,656.878566
62,9316.0,656.99242
63,9315.0,657.075295
64,9315.5,657.079695
65,9315.0,657.080656
66,9315.0,657.08244
67,9308.5,657.030465
68,9308.5,657.027101
69,9308.5,657.030161
70,9308.5,657.029866
71,9310.5,657.026446
72,9318.0,656.91425
73,9317.5,656.90875
74,9322.5,656.986861
75,9326.5,656.996505
76,9327.0,657.003362
77,9327.0,657.002821
78,9327.5,657.039402
79,9329.5,656.930422
80,9327.5,656.853684
81,9321.5,656.978715
82,9321.5,656.997438
83,9321.5,656.995603
84,9317.0,657.003616
85,9317.5,657.015255
86,9315.5,657.015786
87,9306.0,656.927537
88,9312.0,656.783505
89,9312.0,656.765126
90,9311.0,656.774769
91,9308.0,656.789737
92,9308.5,656.779412
93,9304.0,656.829986
94,9304.0,656.62564
95,9304.0,656.643157
96,9303.5,656.642403
97,9301.0,656.649488
98,9294.0,656.723629
99,9294.0,656.751755
100,9294.5,656.738503
101,9287.5,656.9572
102,9294.5,656.960236
103,9293.0,657.000396
104,9291.5,656.888318
105,9293.5,656.803948
106,9293.0,656.798448
107,9293.0,656.74973
108,9292.5,656.770561
109,9290.0,656.721751
110,9284.5,656.726338
111,9284.0,656.868348
112,9281.0,656.86558
113,9272.5,656.857851
114,9276.5,656.763334
115,9280.0,656.731903
116,9279.5,656.752707
117,9280.0,656.729269
118,9279.5,656.700645
119,9280.0,656.697106
120,9280.0,656.684106
121,9272.5,656.684106
122,9272.0,656.657043
123,9270.5,656.674163
124,9267.5,656.379004
125,9261.5,656.253843
126,9260.0,656.117716
127,9254.0,655.584246
128,9251.5,655.584246
129,9270.5,655.718836
130,9254.0,656.137647
131,9258.5,656.08955
132,9259.5,656.027792
133,9259.5,656.065901
134,9259.5,656.066404
135,9259.5,656.075551
136,9259.5,655.995305
137,9259.0,655.990305
138,9259.0,656.163988
139,9256.0,656.145265
140,9254.0,656.174466
141,9253.5,656.195727
142,9252.0,656.182745
143,9249.5,656.080063
144,9255.5,656.103907
145,9259.5,656.029604
146,9259.0,656.056872
147,9257.5,655.991005
148,9256.0,656.066159
149,9263.5,656.016756
150,9264.0,655.975972
151,9270.0,656.011706
152,9284.5,656.015589
153,9272.5,655.782978
154,9272.5,655.810307
155,9273.0,655.866707
156,9272.5,655.903684
157,9272.5,655.931897
158,9273.0,655.932091
159,9263.5,655.888463
160,9260.0,656.10856
161,9260.0,655.981742
162,9260.5,655.981642
163,9260.0,655.985642
164,9260.0,656.007882
165,9251.5,655.916908
166,9257.5,655.884467
167,9258.0,655.82929
168,9258.0,655.830922
169,9258.0,655.832519
170,9255.5,655.746712
171,9250.5,655.746883
172,9250.0,655.854518
173,9250.0,655.924585
174,9250.0,655.933942
175,9250.0,655.842196
176,9250.0,655.767011
177,9254.0,655.7714
178,9254.5,655.606473
179,9254.0,655.568484
180,9254.5,655.594047
181,9254.5,655.591386
182,9254.5,655.581486
183,9254.5,655.581426
184,9254.0,655.671645
185,9254.5,655.618576
186,9269.0,655.311764
187,9266.0,655.391518
188,9268.5,655.304882
189,9268.5,655.309208
190,9269.0,655.308908
191,9268.5,655.303144
192,9269.0,655.302089
193,9268.5,655.307695
194,9269.0,655.329737
195,9269.0,655.33564
196,9263.0,655.543322
197,9262.5,655.556648
198,9262.5,655.555509
199,9259.5,655.491438
200,9259.0,655.476826
201,9257.0,655.468971
202,9250.0,655.344033
203,9250.0,655.342462
204,9250.5,655.34147
205,9250.0,655.329867
206,9251.5,655.385309
207,9252.0,655.365225
208,9251.5,655.363301
209,9252.0,655.352822
210,9255.0,655.284993
211,9255.0,655.304433
212,9255.0,655.305037
213,9255.0,655.304326
214,9257.5,655.283304
215,9257.5,655.284501
216,9255.0,655.350264
217,9254.0,655.354939
218,9251.5,655.384707
219,9251.5,655.382173
220,9245.0,655.577724
221,9245.0,655.556444
222,9249.0,655.605434
223,9249.0,655.559276
224,9250.5,655.551167
225,9250.5,655.565455
226,9249.0,655.51874
227,9246.0,655.510681
228,9246.0,655.503677
229,9243.5,655.489089
230,9241.5,655.331319
